name,latitude,longitude,empty_slots,free_bikes
Queen St E / Woodward Ave,43.665269,-79.319796,9,9
Primrose Ave / Davenport Rd,43.67142,-79.445947,13,2
Queen St. E / Rhodes Ave.,43.666224,-79.317693,6,17
Bond St / Queen St E,43.653236,-79.376716,23,0
Church St / Alexander St,43.663722,-79.380288,7,19
University Ave / Gerrard St W (East Side),43.657763,-79.389165,25,0
Edward St / Yonge St,43.656729,-79.382736,11,10
Euclid Ave / Bloor St W,43.664467,-79.414783,11,7
Yonge St / Aylmer Ave,43.675492,-79.388858,14,1
Davenport Rd / Avenue Rd,43.674991,-79.396273,10,0
Yonge St / Yorkville Ave,43.671944,-79.387778,14,3
Dundas St E / Broadview Ave,43.662365,-79.351104,1,18
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,44,0
Gerrard St E / River St,43.663993,-79.358534,3,5
Jarvis St / Dundas St E,43.657266,-79.374756,12,14
Logan Av / Gerrard St E,43.6672144,-79.3452697,1,14
Regal Rd / Dufferin St,43.673939,-79.441159,13,2
Morse St / Eastern Ave,43.657991,-79.340075,2,8
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,2,20
Blake St / Boultbee Ave,43.672453,-79.338259,4,11
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,7,6
Gamble Ave / Broadview Ave,43.689211,-79.35438,15,8
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,15,1
Dundas St E / Pembroke St - SMART,43.658295,-79.372346,7,9
Victoria Park Subway Station - SMART,43.6940155,-79.2889842,9,11
Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,15,1
Lawton Blvd / Yonge St,43.6910667,-79.39535,12,3
Yonge St / Davisville Ave,43.6975969,-79.39654,15,0
Fort York  Blvd / Capreol Ct,43.639832,-79.395954,11,23
St. George St / Bloor St W,43.667333,-79.399429,17,2
King St W / York St,43.6480008,-79.383177,20,1
University Ave / Elm St,43.656518,-79.389099,9,1
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,11,5
