,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.admin_region,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,geocodes.drop_off.latitude,geocodes.drop_off.longitude,location.address_extended
0,5270eabf11d283e6fe8550e9,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],25,/v3/places/5270eabf11d283e6fe8550e9,Bar Buffet Stazione Mantova,Europe/Rome,45.158514,10.78456,45.158514,10.78456,Piazza Don Eugenio Leoni 13,Lombardia,IT,,"Piazza Don Eugenio Leoni 13, 46100 Mantova Mantova",Mantova,46100,Mantova,,,
1,4f245cfbe4b04f6e69201041,"[{'id': 13134, 'name': 'Comfort Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",[],257,/v3/places/4f245cfbe4b04f6e69201041,Osteria da Bice La Gallina Felice,Europe/Rome,45.156465,10.785125,45.156465,10.785125,Via Carbonati 4,Lombardia,IT,,"Via Carbonati 4, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.156605,10.785051,6
2,577e3ae3498e49f976d8a820,"[{'id': 13288, 'name': 'Kebab Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",[],94,/v3/places/577e3ae3498e49f976d8a820,Lahore Kebab,Europe/Rome,45.157916,10.782667,45.157916,10.782667,Via Saverio Bettinelli 15,Lombardia,IT,,"Via Saverio Bettinelli 15, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.158014,10.782567,
3,5ac0e08253159307708859aa,"[{'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",[],126,/v3/places/5ac0e08253159307708859aa,Bigoleria Al Torchio,Europe/Rome,45.158954,10.785214,45.158954,10.785214,Via Solferino e San Martino 31,Lombardia,IT,,"Via Solferino e San Martino 31, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.159074,10.785152,
4,4db48df14df05e5aaae24c83,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13258, 'name': 'Trattoria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",[],373,/v3/places/4db48df14df05e5aaae24c83,Spirito Divino,Europe/Rome,45.159126,10.788632,45.159126,10.788632,Via Marangoni 34,Lombardia,IT,,"Via Marangoni 34, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.159029,10.78855,
5,51000343e4b055a6fd7f829c,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}]",[],144,/v3/places/51000343e4b055a6fd7f829c,Caffè 29,Europe/Rome,45.157646,10.784735,45.157646,10.784735,Via Vittorio Emanuele,Lombardia,IT,,"Via Vittorio Emanuele, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.157454,10.784743,
6,5a25fc13d552c759b76d699a,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],162,/v3/places/5a25fc13d552c759b76d699a,Bistro Bar Porta Pradella,Europe/Rome,45.157267,10.782822,45.157267,10.782822,Corso Vittorio Emanuele II 144,Lombardia,IT,,"Corso Vittorio Emanuele II 144, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.157372,10.782817,
7,5d62e04487398a00086a1006,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",[],168,/v3/places/5d62e04487398a00086a1006,Crosta,Europe/Rome,45.158101,10.785574,45.158101,10.785574,Via Bonomi 4,Lombardia,IT,,"Via Bonomi 4, 46100 Mantova Lombardia",Mantova,46100,Lombardia,45.158193,10.785714,D
8,4c488a70417b20a1af4be1a9,"[{'id': 13258, 'name': 'Trattoria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",[],504,/v3/places/4c488a70417b20a1af4be1a9,Ristorante Il Cigno dei Martini,Europe/Rome,45.160319,10.789726,45.160319,10.789726,Piazza Carlo d'Arco 1,Lombardia,IT,,"Piazza Carlo d'Arco 1, 46100 Mantova Lombardia",Mantova,46100,Lombardia,,,
9,4e3d791db61cb577be7779a1,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],536,/v3/places/4e3d791db61cb577be7779a1,Rifugio,Europe/Rome,45.157239,10.777163,,,Lungolago dell'Arlecchino 6,Lombardia,IT,,"Lungolago dell'Arlecchino 6, 46100 Mantova Lombardia",Mantova,46100,Lombardia,,,
